"y2_statefips","y2_countyfips","y1_statefips","y1_countyfips","y1_state","y1_countyname","n1","n2","agi"
19,27,19,27,"IA","Carroll County Non-migrants",8027,17660,604628
19,29,96,0,"IA","Cass County Total Migration-US and Foreign",278,493,12131
19,29,19,29,"IA","Cass County Non-migrants",5091,10681,284558
19,31,96,0,"IA","Cedar County Total Migration-US and Foreign",492,928,23944
19,31,19,31,"IA","Cedar County Non-migrants",7063,15196,387343
19,33,96,0,"IA","Cerro Gordo County Total Migration-US and Foreign",897,1659,45961
19,33,19,33,"IA","Cerro Gordo County Non-migrants",16429,33232,1133139
19,35,96,0,"IA","Cherokee County Total Migration-US and Foreign",211,391,8265
19,35,19,35,"IA","Cherokee County Non-migrants",4637,9662,282345
19,37,96,0,"IA","Chickasaw County Total Migration-US and Foreign",203,371,7691
19,37,19,37,"IA","Chickasaw County Non-migrants",4678,10156,299165
19,39,96,0,"IA","Clarke County Total Migration-US and Foreign",251,502,11152
19,39,19,39,"IA","Clarke County Non-migrants",3355,7663,176801
19,41,96,0,"IA","Clay County Total Migration-US and Foreign",384,711,17307
19,41,19,41,"IA","Clay County Non-migrants",6381,13289,439750
19,43,96,0,"IA","Clayton County Total Migration-US and Foreign",366,685,17395
19,43,19,43,"IA","Clayton County Non-migrants",6920,14457,388860
19,45,96,0,"IA","Clinton County Total Migration-US and Foreign",921,1749,39616
19,45,19,45,"IA","Clinton County Non-migrants",17721,37067,1058372
19,47,96,0,"IA","Crawford County Total Migration-US and Foreign",323,638,11859
19,47,19,47,"IA","Crawford County Non-migrants",6241,14614,354185
19,49,96,0,"IA","Dallas County Total Migration-US and Foreign",4672,8555,335788
19,49,19,49,"IA","Dallas County Non-migrants",30754,73371,3635281
19,51,96,0,"IA","Davis County Total Migration-US and Foreign",129,295,6003
19,51,19,51,"IA","Davis County Non-migrants",2838,7279,148986
19,53,96,0,"IA","Decatur County Total Migration-US and Foreign",154,304,5682
19,53,19,53,"IA","Decatur County Non-migrants",2409,5369,141820
19,55,96,0,"IA","Delaware County Total Migration-US and Foreign",349,724,16718
19,55,19,55,"IA","Delaware County Non-migrants",6661,14939,393378
19,57,96,0,"IA","Des Moines County Total Migration-US and Foreign",746,1394,32456
19,57,19,57,"IA","Des Moines County Non-migrants",15116,30856,921447
19,59,96,0,"IA","Dickinson County Total Migration-US and Foreign",550,968,37610
19,59,19,59,"IA","Dickinson County Non-migrants",7095,14333,588907
19,61,96,0,"IA","Dubuque County Total Migration-US and Foreign",1641,2926,83123
19,61,19,61,"IA","Dubuque County Non-migrants",37647,79880,2877694
19,63,96,0,"IA","Emmet County Total Migration-US and Foreign",176,301,6187
19,63,19,63,"IA","Emmet County Non-migrants",3492,7371,199848
19,65,96,0,"IA","Fayette County Total Migration-US and Foreign",435,780,15739
19,65,19,65,"IA","Fayette County Non-migrants",7130,15092,383804
19,67,96,0,"IA","Floyd County Total Migration-US and Foreign",354,656,14154
19,67,19,67,"IA","Floyd County Non-migrants",5798,12695,347821
19,69,96,0,"IA","Franklin County Total Migration-US and Foreign",170,328,6542
19,69,19,69,"IA","Franklin County Non-migrants",3594,8127,217979
19,71,96,0,"IA","Fremont County Total Migration-US and Foreign",176,341,7470
19,71,19,71,"IA","Fremont County Non-migrants",2528,5469,155351
19,73,96,0,"IA","Greene County Total Migration-US and Foreign",163,355,6470
19,73,19,73,"IA","Greene County Non-migrants",3378,7261,191512
19,75,96,0,"IA","Grundy County Total Migration-US and Foreign",278,510,12633
19,75,19,75,"IA","Grundy County Non-migrants",4657,10378,383735
19,77,96,0,"IA","Guthrie County Total Migration-US and Foreign",330,630,18268
19,77,19,77,"IA","Guthrie County Non-migrants",4032,8741,280275
19,79,96,0,"IA","Hamilton County Total Migration-US and Foreign",334,654,15265
19,79,19,79,"IA","Hamilton County Non-migrants",5652,12214,386420
19,81,96,0,"IA","Hancock County Total Migration-US and Foreign",217,429,8893
19,81,19,81,"IA","Hancock County Non-migrants",4152,9013,258803
19,83,96,0,"IA","Hardin County Total Migration-US and Foreign",364,680,15925
19,83,19,83,"IA","Hardin County Non-migrants",6186,13399,338942
19,85,96,0,"IA","Harrison County Total Migration-US and Foreign",300,599,15248
19,85,19,85,"IA","Harrison County Non-migrants",5318,11594,332295
19,87,96,0,"IA","Henry County Total Migration-US and Foreign",413,804,17438
19,87,19,87,"IA","Henry County Non-migrants",7019,15076,408239
19,89,96,0,"IA","Howard County Total Migration-US and Foreign",209,395,9224
19,89,19,89,"IA","Howard County Non-migrants",3661,7950,195280
19,91,96,0,"IA","Humboldt County Total Migration-US and Foreign",196,390,9487
19,91,19,91,"IA","Humboldt County Non-migrants",3598,7897,247059
19,93,96,0,"IA","Ida County Total Migration-US and Foreign",151,286,6344
19,93,19,93,"IA","Ida County Non-migrants",2670,5727,191511
19,95,96,0,"IA","Iowa County Total Migration-US and Foreign",412,762,19900
19,95,19,95,"IA","Iowa County Non-migrants",6407,13960,425625
19,97,96,0,"IA","Jackson County Total Migration-US and Foreign",387,725,16102
19,97,19,97,"IA","Jackson County Non-migrants",7689,16227,433940
19,99,96,0,"IA","Jasper County Total Migration-US and Foreign",942,1803,45623
19,99,19,99,"IA","Jasper County Non-migrants",13373,28900,863354
19,101,96,0,"IA","Jefferson County Total Migration-US and Foreign",430,731,9155
19,101,19,101,"IA","Jefferson County Non-migrants",5795,11478,351551
19,103,96,0,"IA","Johnson County Total Migration-US and Foreign",4194,6815,228449
19,103,19,103,"IA","Johnson County Non-migrants",49874,102595,4380931
19,105,96,0,"IA","Jones County Total Migration-US and Foreign",410,791,20641
19,105,19,105,"IA","Jones County Non-migrants",7378,15694,455080
19,107,96,0,"IA","Keokuk County Total Migration-US and Foreign",211,431,7959
19,107,19,107,"IA","Keokuk County Non-migrants",3663,7936,192784
19,109,96,0,"IA","Kossuth County Total Migration-US and Foreign",333,599,14500
19,109,19,109,"IA","Kossuth County Non-migrants",5981,12634,378468
19,111,96,0,"IA","Lee County Total Migration-US and Foreign",549,1048,22075
19,111,19,111,"IA","Lee County Non-migrants",12558,25866,723501
19,113,96,0,"IA","Linn County Total Migration-US and Foreign",4750,8266,245263
19,113,19,113,"IA","Linn County Non-migrants",85638,180311,6763789
19,115,96,0,"IA","Louisa County Total Migration-US and Foreign",247,470,10606
19,115,19,115,"IA","Louisa County Non-migrants",4011,8944,235353
19,117,96,0,"IA","Lucas County Total Migration-US and Foreign",162,328,6747
19,117,19,117,"IA","Lucas County Non-migrants",3119,6933,167759
19,119,96,0,"IA","Lyon County Total Migration-US and Foreign",161,316,7124
19,119,19,119,"IA","Lyon County Non-migrants",4218,10559,285299
19,121,96,0,"IA","Madison County Total Migration-US and Foreign",483,981,30662
19,121,19,121,"IA","Madison County Non-migrants",5638,13184,449048
19,123,96,0,"IA","Mahaska County Total Migration-US and Foreign",427,825,19285
19,123,19,123,"IA","Mahaska County Non-migrants",7586,16953,494659
19,125,96,0,"IA","Marion County Total Migration-US and Foreign",735,1435,39768
19,125,19,125,"IA","Marion County Non-migrants",11891,27072,925276
19,127,96,0,"IA","Marshall County Total Migration-US and Foreign",793,1517,31629
19,127,19,127,"IA","Marshall County Non-migrants",14405,32466,890149
19,129,96,0,"IA","Mills County Total Migration-US and Foreign",364,733,19693
19,129,19,129,"IA","Mills County Non-migrants",5326,12032,398026
19,131,96,0,"IA","Mitchell County Total Migration-US and Foreign",224,411,9690
19,131,19,131,"IA","Mitchell County Non-migrants",3912,8670,237062
19,133,96,0,"IA","Monona County Total Migration-US and Foreign",163,338,7637
19,133,19,133,"IA","Monona County Non-migrants",3321,6882,188009
19,135,96,0,"IA","Monroe County Total Migration-US and Foreign",171,316,7694
19,135,19,135,"IA","Monroe County Non-migrants",2692,5959,147405
19,137,96,0,"IA","Montgomery County Total Migration-US and Foreign",227,455,9268
19,137,19,137,"IA","Montgomery County Non-migrants",3735,7793,208313
19,139,96,0,"IA","Muscatine County Total Migration-US and Foreign",871,1620,37814
19,139,19,139,"IA","Muscatine County Non-migrants",16287,35230,1067535
19,141,96,0,"IA","O'Brien County Total Migration-US and Foreign",309,576,12698
19,141,19,141,"IA","O'Brien County Non-migrants",5330,11718,357006
19,143,96,0,"IA","Osceola County Total Migration-US and Foreign",123,246,4742
19,143,19,143,"IA","Osceola County Non-migrants",2314,5158,126078
19,145,96,0,"IA","Page County Total Migration-US and Foreign",268,534,12768
19,145,19,145,"IA","Page County Non-migrants",5164,10852,296709
19,147,96,0,"IA","Palo Alto County Total Migration-US and Foreign",179,297,7128
19,147,19,147,"IA","Palo Alto County Non-migrants",3408,7167,186949
19,149,96,0,"IA","Plymouth County Total Migration-US and Foreign",562,1076,25574
19,149,19,149,"IA","Plymouth County Non-migrants",9593,21825,711232
19,151,96,0,"IA","Pocahontas County Total Migration-US and Foreign",134,259,5902
19,151,19,151,"IA","Pocahontas County Non-migrants",2645,5610,152709
19,153,96,0,"IA","Polk County Total Migration-US and Foreign",13343,23780,758910
19,153,19,153,"IA","Polk County Non-migrants",179333,385627,15111284
19,155,96,0,"IA","Pottawattamie County Total Migration-US and Foreign",1997,3716,92374
19,155,19,155,"IA","Pottawattamie County Non-migrants",33624,71010,2192393
19,157,96,0,"IA","Poweshiek County Total Migration-US and Foreign",488,936,26823
19,157,19,157,"IA","Poweshiek County Non-migrants",6600,13706,429784
19,159,96,0,"IA","Ringgold County Total Migration-US and Foreign",87,186,4728
19,159,19,159,"IA","Ringgold County Non-migrants",1647,3656,77506
19,161,96,0,"IA","Sac County Total Migration-US and Foreign",172,333,7749
19,161,19,161,"IA","Sac County Non-migrants",3860,8198,237337
19,163,96,0,"IA","Scott County Total Migration-US and Foreign",3905,7343,217336
19,163,19,163,"IA","Scott County Non-migrants",64590,136806,5373710
19,165,96,0,"IA","Shelby County Total Migration-US and Foreign",254,491,10491
19,165,19,165,"IA","Shelby County Non-migrants",4586,9885,311209
19,167,96,0,"IA","Sioux County Total Migration-US and Foreign",488,1020,26597
19,167,19,167,"IA","Sioux County Non-migrants",11549,29981,864591
19,169,96,0,"IA","Story County Total Migration-US and Foreign",2492,4173,123332
19,169,19,169,"IA","Story County Non-migrants",28254,58448,2344935
19,171,96,0,"IA","Tama County Total Migration-US and Foreign",378,762,16397
19,171,19,171,"IA","Tama County Non-migrants",6526,14115,378592
19,173,96,0,"IA","Taylor County Total Migration-US and Foreign",129,266,5798
19,173,19,173,"IA","Taylor County Non-migrants",2186,4802,104068
19,175,96,0,"IA","Union County Total Migration-US and Foreign",232,456,8571
19,175,19,175,"IA","Union County Non-migrants",4399,9253,238774
19,177,96,0,"IA","Van Buren County Total Migration-US and Foreign",128,250,6023
19,177,19,177,"IA","Van Buren County Non-migrants",2511,5618,133071
19,179,96,0,"IA","Wapello County Total Migration-US and Foreign",794,1596,29085
19,179,19,179,"IA","Wapello County Non-migrants",12085,25850,664325
19,181,96,0,"IA","Warren County Total Migration-US and Foreign",1634,3189,89905
19,181,19,181,"IA","Warren County Non-migrants",18188,41769,1554803
19,183,96,0,"IA","Washington County Total Migration-US and Foreign",486,964,25258
19,183,19,183,"IA","Washington County Non-migrants",8429,18764,530665
19,185,96,0,"IA","Wayne County Total Migration-US and Foreign",105,232,3829
19,185,19,185,"IA","Wayne County Non-migrants",2178,5157,115569
19,187,96,0,"IA","Webster County Total Migration-US and Foreign",675,1222,27874
19,187,19,187,"IA","Webster County Non-migrants",12817,26633,795486
19,189,96,0,"IA","Winnebago County Total Migration-US and Foreign",247,441,8904
19,189,19,189,"IA","Winnebago County Non-migrants",4057,8433,242816
19,191,96,0,"IA","Winneshiek County Total Migration-US and Foreign",359,634,18233
19,191,19,191,"IA","Winneshiek County Non-migrants",7791,16228,490697
19,193,96,0,"IA","Woodbury County Total Migration-US and Foreign",2206,4175,79792
19,193,19,193,"IA","Woodbury County Non-migrants",36667,80146,2251500
19,195,96,0,"IA","Worth County Total Migration-US and Foreign",177,279,6868
19,195,19,195,"IA","Worth County Non-migrants",2865,6125,168314
19,197,96,0,"IA","Wright County Total Migration-US and Foreign",243,479,9946
19,197,19,197,"IA","Wright County Non-migrants",4647,10215,265328
41,1,96,0,"OR","Baker County Total Migration-US and Foreign",398,765,17750
41,1,41,1,"OR","Baker County Non-migrants",5565,11480,274088
41,3,96,0,"OR","Benton County Total Migration-US and Foreign",3271,5323,169928
41,3,41,3,"OR","Benton County Non-migrants",29181,58388,2504326
41,5,96,0,"OR","Clackamas County Total Migration-US and Foreign",14936,26748,1068186
41,5,41,5,"OR","Clackamas County Non-migrants",151190,321168,15315364
41,7,96,0,"OR","Clatsop County Total Migration-US and Foreign",1470,2646,77114
41,7,41,7,"OR","Clatsop County Non-migrants",14053,27898,875525
41,9,96,0,"OR","Columbia County Total Migration-US and Foreign",1626,3052,87082
41,9,41,9,"OR","Columbia County Non-migrants",18175,38313,1243566
41,11,96,0,"OR","Coos County Total Migration-US and Foreign",1874,3405,89355
41,11,41,11,"OR","Coos County Non-migrants",21669,43068,1256702
41,13,96,0,"OR","Crook County Total Migration-US and Foreign",987,1822,59271
41,13,41,13,"OR","Crook County Non-migrants",7826,16614,467038
41,15,96,0,"OR","Curry County Total Migration-US and Foreign",932,1622,50851
41,15,41,15,"OR","Curry County Non-migrants",8267,15502,451318
41,17,96,0,"OR","Deschutes County Total Migration-US and Foreign",7585,13354,662369
41,17,41,17,"OR","Deschutes County Non-migrants",71440,144829,5811951
41,19,96,0,"OR","Douglas County Total Migration-US and Foreign",2578,4739,114980
41,19,41,19,"OR","Douglas County Non-migrants",36511,75399,1975864
41,21,96,0,"OR","Gilliam County Total Migration-US and Foreign",52,92,2305
41,21,41,21,"OR","Gilliam County Non-migrants",618,1249,36670
41,23,96,0,"OR","Grant County Total Migration-US and Foreign",175,338,9263
41,23,41,23,"OR","Grant County Non-migrants",2421,4959,118750
41,25,96,0,"OR","Harney County Total Migration-US and Foreign",163,325,6842
41,25,41,25,"OR","Harney County Non-migrants",2321,5150,103106
41,27,96,0,"OR","Hood River County Total Migration-US and Foreign",745,1293,55418
41,27,41,27,"OR","Hood River County Non-migrants",9166,20623,684461
41,29,96,0,"OR","Jackson County Total Migration-US and Foreign",5479,9477,313645
41,29,41,29,"OR","Jackson County Non-migrants",79950,162079,5197804
41,31,96,0,"OR","Jefferson County Total Migration-US and Foreign",753,1521,36410
41,31,41,31,"OR","Jefferson County Non-migrants",7305,16366,371087
41,33,96,0,"OR","Josephine County Total Migration-US and Foreign",2396,4202,114170
41,33,41,33,"OR","Josephine County Non-migrants",29142,58796,1699366
41,35,96,0,"OR","Klamath County Total Migration-US and Foreign",1853,3628,84387
41,35,41,35,"OR","Klamath County Non-migrants",21866,46173,1168096
41,37,96,0,"OR","Lake County Total Migration-US and Foreign",206,388,7900
41,37,41,37,"OR","Lake County Non-migrants",2429,5284,125297
41,39,96,0,"OR","Lane County Total Migration-US and Foreign",9119,14936,462384
41,39,41,39,"OR","Lane County Non-migrants",133608,260005,9198152
41,41,96,0,"OR","Lincoln County Total Migration-US and Foreign",2046,3575,112013
41,41,41,41,"OR","Lincoln County Non-migrants",17247,33134,997450
41,43,96,0,"OR","Linn County Total Migration-US and Foreign",4078,7559,203202
41,43,41,43,"OR","Linn County Non-migrants",42579,91246,2530422
41,45,96,0,"OR","Malheur County Total Migration-US and Foreign",659,1516,23240
41,45,41,45,"OR","Malheur County Non-migrants",8235,19668,383662
41,47,96,0,"OR","Marion County Total Migration-US and Foreign",8671,16100,436106
41,47,41,47,"OR","Marion County Non-migrants",115501,257694,7687968
41,49,96,0,"OR","Morrow County Total Migration-US and Foreign",299,691,12378
41,49,41,49,"OR","Morrow County Non-migrants",3499,8916,199388
41,51,96,0,"OR","Multnomah County Total Migration-US and Foreign",29991,43621,1853087
41,51,41,51,"OR","Multnomah County Non-migrants",307398,571036,25856434
41,53,96,0,"OR","Polk County Total Migration-US and Foreign",3222,6222,149562
41,53,41,53,"OR","Polk County Non-migrants",26924,60181,1914624
41,55,96,0,"OR","Sherman County Total Migration-US and Foreign",47,107,2057
41,55,41,55,"OR","Sherman County Non-migrants",624,1276,39854
41,57,96,0,"OR","Tillamook County Total Migration-US and Foreign",894,1578,51203
41,57,41,57,"OR","Tillamook County Non-migrants",9570,19286,606683
41,59,96,0,"OR","Umatilla County Total Migration-US and Foreign",1527,3053,63221
41,59,41,59,"OR","Umatilla County Non-migrants",24773,56300,1401640
41,61,96,0,"OR","Union County Total Migration-US and Foreign",605,1140,28460
41,61,41,61,"OR","Union County Non-migrants",8955,19180,527331
41,63,96,0,"OR","Wallowa County Total Migration-US and Foreign",190,353,10700
41,63,41,63,"OR","Wallowa County Non-migrants",2755,5496,149202
41,65,96,0,"OR","Wasco County Total Migration-US and Foreign",825,1507,39401
41,65,41,65,"OR","Wasco County Non-migrants",8916,18971,512071
41,67,96,0,"OR","Washington County Total Migration-US and Foreign",20005,33154,1325403
41,67,41,67,"OR","Washington County Non-migrants",214549,462571,20931809
41,69,96,0,"OR","Wheeler County Total Migration-US and Foreign",29,59,1399
41,69,41,69,"OR","Wheeler County Non-migrants",422,826,16241
41,71,96,0,"OR","Yamhill County Total Migration-US and Foreign",3101,5864,197749
41,71,41,71,"OR","Yamhill County Non-migrants",35261,78395,2601899
51,1,96,0,"VA","Accomack County Total Migration-US and Foreign",696,1304,33758
51,1,51,1,"VA","Accomack County Non-migrants",12696,25547,648808
51,3,96,0,"VA","Albemarle County Total Migration-US and Foreign",4508,8104,417727
51,3,51,3,"VA","Albemarle County Non-migrants",37574,80056,4865173
51,5,96,0,"VA","Alleghany County Total Migration-US and Foreign",293,555,10923
51,5,51,5,"VA","Alleghany County Non-migrants",5533,11418,308870
51,7,96,0,"VA","Amelia County Total Migration-US and Foreign",351,649,16736
51,7,51,7,"VA","Amelia County Non-migrants",4836,10326,286419
51,9,96,0,"VA","Amherst County Total Migration-US and Foreign",767,1490,36169
51,9,51,9,"VA","Amherst County Non-migrants",11172,23190,602412
51,11,96,0,"VA","Appomattox County Total Migration-US and Foreign",385,735,16535
51,11,51,11,"VA","Appomattox County Non-migrants",5591,12212,307724
51,13,96,0,"VA","Arlington County Total Migration-US and Foreign",16200,22781,1383220
51,13,51,13,"VA","Arlington County Non-migrants",90095,160083,13138782
51,15,96,0,"VA","Augusta County Total Migration-US and Foreign",2169,4156,102353
51,15,51,15,"VA","Augusta County Non-migrants",27907,58713,1740704
51,17,96,0,"VA","Bath County Total Migration-US and Foreign",102,172,4658
51,17,51,17,"VA","Bath County Non-migrants",1771,3425,104134
51,19,96,0,"VA","Bedford County Total Migration-US and Foreign",2462,4915,152618
51,19,51,19,"VA","Bedford County Non-migrants",28425,61576,2127642
51,21,96,0,"VA","Bland County Total Migration-US and Foreign",117,247,4663
51,21,51,21,"VA","Bland County Non-migrants",2069,4244,109561
51,23,96,0,"VA","Botetourt County Total Migration-US and Foreign",992,1970,58699
51,23,51,23,"VA","Botetourt County Non-migrants",12615,27437,961657
51,25,96,0,"VA","Brunswick County Total Migration-US and Foreign",298,627,14635
51,25,51,25,"VA","Brunswick County Non-migrants",5059,10245,232514
51,27,96,0,"VA","Buchanan County Total Migration-US and Foreign",242,531,7575
51,27,51,27,"VA","Buchanan County Non-migrants",5871,13156,285092
51,29,96,0,"VA","Buckingham County Total Migration-US and Foreign",372,764,16373
51,29,51,29,"VA","Buckingham County Non-migrants",5094,10556,245144
51,31,96,0,"VA","Campbell County Total Migration-US and Foreign",1698,3270,69489
51,31,51,31,"VA","Campbell County Non-migrants",19471,41341,1165334
51,33,96,0,"VA","Caroline County Total Migration-US and Foreign",1207,2325,60741
51,33,51,33,"VA","Caroline County Non-migrants",10832,22490,652553
51,35,96,0,"VA","Carroll County Total Migration-US and Foreign",590,1138,24767
51,35,51,35,"VA","Carroll County Non-migrants",9894,20754,464710
51,36,96,0,"VA","Charles City County Total Migration-US and Foreign",179,328,11729
51,36,51,36,"VA","Charles City County Non-migrants",2767,5102,170732
51,37,96,0,"VA","Charlotte County Total Migration-US and Foreign",226,463,9555
51,37,51,37,"VA","Charlotte County Non-migrants",4074,8655,189508
51,41,96,0,"VA","Chesterfield County Total Migration-US and Foreign",11302,22251,685686
51,41,51,41,"VA","Chesterfield County Non-migrants",126776,279094,10815605
51,43,96,0,"VA","Clarke County Total Migration-US and Foreign",571,1102,43132
51,43,51,43,"VA","Clarke County Non-migrants",5489,11425,545020
51,45,96,0,"VA","Craig County Total Migration-US and Foreign",109,209,4486
51,45,51,45,"VA","Craig County Non-migrants",1796,3762,92895
51,47,96,0,"VA","Culpeper County Total Migration-US and Foreign",1615,3332,95056
51,47,51,47,"VA","Culpeper County Non-migrants",17533,39327,1284125
51,49,96,0,"VA","Cumberland County Total Migration-US and Foreign",305,620,12430
51,49,51,49,"VA","Cumberland County Non-migrants",3338,6826,159728
51,51,96,0,"VA","Dickenson County Total Migration-US and Foreign",157,322,4795
51,51,51,51,"VA","Dickenson County Non-migrants",3870,8910,179335
51,53,96,0,"VA","Dinwiddie County Total Migration-US and Foreign",939,1902,37948
51,53,51,53,"VA","Dinwiddie County Non-migrants",10062,20841,578848
51,57,96,0,"VA","Essex County Total Migration-US and Foreign",285,563,13630
51,57,51,57,"VA","Essex County Non-migrants",4187,8239,247334
51,59,96,0,"VA","Fairfax County Total Migration-US and Foreign",40400,74377,3516353
51,59,51,59,"VA","Fairfax County Non-migrants",418618,913803,59342138
51,61,96,0,"VA","Fauquier County Total Migration-US and Foreign",2489,5015,204330
51,61,51,61,"VA","Fauquier County Non-migrants",25932,57574,2778605
51,63,96,0,"VA","Floyd County Total Migration-US and Foreign",310,602,16481
51,63,51,63,"VA","Floyd County Non-migrants",5451,11707,294895
51,65,96,0,"VA","Fluvanna County Total Migration-US and Foreign",923,1704,57748
51,65,51,65,"VA","Fluvanna County Non-migrants",9583,20296,674777
51,67,96,0,"VA","Franklin County Total Migration-US and Foreign",1147,2195,88055
51,67,51,67,"VA","Franklin County Non-migrants",19320,40786,1165143
51,69,96,0,"VA","Frederick County Total Migration-US and Foreign",3233,6199,206752
51,69,51,69,"VA","Frederick County Non-migrants",32111,69553,2427790
51,71,96,0,"VA","Giles County Total Migration-US and Foreign",312,602,12884
51,71,51,71,"VA","Giles County Non-migrants",5960,12507,322152
51,73,96,0,"VA","Gloucester County Total Migration-US and Foreign",1125,2254,66238
51,73,51,73,"VA","Gloucester County Non-migrants",14409,29788,975115
51,75,96,0,"VA","Goochland County Total Migration-US and Foreign",978,1864,108483
51,75,51,75,"VA","Goochland County Non-migrants",8701,18572,1401366
51,77,96,0,"VA","Grayson County Total Migration-US and Foreign",335,659,11586
51,77,51,77,"VA","Grayson County Non-migrants",4956,10227,220241
51,79,96,0,"VA","Greene County Total Migration-US and Foreign",637,1262,36966
51,79,51,79,"VA","Greene County Non-migrants",7118,15474,470463
51,81,96,0,"VA","Greensville County Total Migration-US and Foreign",271,589,8479
51,81,51,81,"VA","Greensville County Non-migrants",2712,5523,126340
51,83,96,0,"VA","Halifax County Total Migration-US and Foreign",494,912,20932
51,83,51,83,"VA","Halifax County Non-migrants",12051,25271,597809
51,85,96,0,"VA","Hanover County Total Migration-US and Foreign",3290,6281,216460
51,85,51,85,"VA","Hanover County Non-migrants",40270,88916,3771914
51,87,96,0,"VA","Henrico County Total Migration-US and Foreign",12101,21264,733010
51,87,51,87,"VA","Henrico County Non-migrants",122922,253752,10732691
51,89,96,0,"VA","Henry County Total Migration-US and Foreign",937,1865,34700
51,89,51,89,"VA","Henry County Non-migrants",17550,36280,830818
51,91,96,0,"VA","Highland County Total Migration-US and Foreign",26,46,1427
51,91,51,91,"VA","Highland County Non-migrants",894,1747,40428
51,93,96,0,"VA","Isle of Wight County Total Migration-US and Foreign",1343,2761,94258
51,93,51,93,"VA","Isle of Wight County Non-migrants",13612,29564,1065565
51,95,96,0,"VA","James City County Total Migration-US and Foreign",3210,6226,257735
51,95,51,95,"VA","James City County Non-migrants",28366,60459,3120311
51,97,96,0,"VA","King and Queen County Total Migration-US and Foreign",218,394,8403
51,97,51,97,"VA","King and Queen County Non-migrants",2484,4870,136646
51,99,96,0,"VA","King George County Total Migration-US and Foreign",1093,2186,62557
51,99,51,99,"VA","King George County Non-migrants",8788,19955,757380
51,101,96,0,"VA","King William County Total Migration-US and Foreign",609,1127,31652
51,101,51,101,"VA","King William County Non-migrants",6445,13996,423071
51,103,96,0,"VA","Lancaster County Total Migration-US and Foreign",291,536,26732
51,103,51,103,"VA","Lancaster County Non-migrants",4628,8683,347227
51,105,96,0,"VA","Lee County Total Migration-US and Foreign",254,512,8201
51,105,51,105,"VA","Lee County Non-migrants",6162,13754,265396
51,107,96,0,"VA","Loudoun County Total Migration-US and Foreign",14791,30409,1522040
51,107,51,107,"VA","Loudoun County Non-migrants",138834,346551,19882301
51,109,96,0,"VA","Louisa County Total Migration-US and Foreign",1372,2631,87020
51,109,51,109,"VA","Louisa County Non-migrants",12921,27046,866165
51,111,96,0,"VA","Lunenburg County Total Migration-US and Foreign",216,402,8085
51,111,51,111,"VA","Lunenburg County Non-migrants",3789,7926,182453
51,113,96,0,"VA","Madison County Total Migration-US and Foreign",321,592,19960
51,113,51,113,"VA","Madison County Non-migrants",4934,10514,273487
51,115,96,0,"VA","Mathews County Total Migration-US and Foreign",259,488,17047
51,115,51,115,"VA","Mathews County Non-migrants",3354,6660,231619
51,117,96,0,"VA","Mecklenburg County Total Migration-US and Foreign",690,1318,37524
51,117,51,117,"VA","Mecklenburg County Non-migrants",10747,21798,544911
51,119,96,0,"VA","Middlesex County Total Migration-US and Foreign",330,609,20703
51,119,51,119,"VA","Middlesex County Non-migrants",4094,7854,274067
51,121,96,0,"VA","Montgomery County Total Migration-US and Foreign",2515,4226,133772
51,121,51,121,"VA","Montgomery County Non-migrants",26748,54239,2006142
